week	home	away	start-time
18	CAR	ARI     2015-01-03T21:35:00Z
18	PIT     BAL     2015-01-04T01:15:00Z
18      IND     CIN     2015-01-04T18:05:00Z
18      DAL     DET     2015-01-04T21:40:00Z
19      NE      BAL     2015-01-10T21:35:00Z
19      SEA     CAR     2015-01-11T01:15:00Z
19      GB      DAL     2015-01-11T18:05:00Z
19      DEN     IND     2015-01-11T21:40:00Z
20      SEA     GB      2015-01-18T20:05:00Z
20      NE      IND     2015-01-18T23:50:00Z
22      NE      SEA     2015-02-01T23:30:00Z